PO Number,Vendor,Ship Date,PO Date,Status,Shipping Carrier,Shipping Method,Shipping Price,Discount,Tax,Tracking Number,Payment Method,Payment Due By,PO Note,Packer Note,Sku,Vendor Sku,Quantity,Sell Ahead,Price
PO471,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000543-196-98,WD-000543-196-98,20,0,8
PO471,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000543-196-97,WD-000543-196-97,30,0,8
PO471,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000543-196-96,WD-000543-196-96,70,0,8
PO471,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000543-196-95,WD-000543-196-95,50,0,8
PO471,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000543-196-94,WD-000543-196-94,20,0,8
PO471,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000543-196-93,WD-000543-196-93,10,0,8
PO472,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000533-196-98,WD-000533-196-98,30,0,13.8
PO472,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000533-196-97,WD-000533-196-97,60,0,13.8
PO472,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000533-196-96,WD-000533-196-96,110,0,13.8
PO472,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000533-196-95,WD-000533-196-95,100,0,13.8
PO472,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000533-196-94,WD-000533-196-94,60,0,13.8
PO472,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000533-196-93,WD-000533-196-93,40,0,13.8
PO473,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000532-196-98,WD-000532-196-98,20,0,8.5
PO473,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000532-196-97,WD-000532-196-97,30,0,8.5
PO473,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000532-196-96,WD-000532-196-96,70,0,8.5
PO473,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000532-196-95,WD-000532-196-95,50,0,8.5
PO473,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000532-196-94,WD-000532-196-94,20,0,8.5
PO473,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000532-196-93,WD-000532-196-93,10,0,8.5
PO446,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000761-006-98,WD-000761-006-98,15,0,8
PO446,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000761-006-97,WD-000761-006-97,35,0,8
PO446,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000761-006-96,WD-000761-006-96,55,0,8
PO446,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000761-006-95,WD-000761-006-95,45,0,8
PO446,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000761-006-94,WD-000761-006-94,30,0,8
PO446,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000761-006-93,WD-000761-006-93,20,0,8
PO447,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000546-006-98,WD-000546-006-98,10,0,13.5
PO447,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000546-006-97,WD-000546-006-97,20,0,13.5
PO447,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000546-006-96,WD-000546-006-96,25,0,13.5
PO447,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000546-006-95,WD-000546-006-95,20,0,13.5
PO447,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000546-006-94,WD-000546-006-94,15,0,13.5
PO447,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000546-006-93,WD-000546-006-93,10,0,13.5
PO448,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000545-006-98,WD-000545-006-98,10,0,13.5
PO448,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000545-006-97,WD-000545-006-97,20,0,13.5
PO448,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000545-006-96,WD-000545-006-96,25,0,13.5
PO448,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000545-006-95,WD-000545-006-95,20,0,13.5
PO448,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000545-006-94,WD-000545-006-94,15,0,13.5
PO448,Dongguan Jinfeng Apparel Co. Ltd (Sandra),,,pending,,,0,0,0,,,,,,WD-000545-006-93,WD-000545-006-93,10,0,13.5
PO434,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000025-252-97,WD-000025-252-97,20,0,6.95
PO434,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000025-252-96,WD-000025-252-96,50,0,6.95
PO434,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000025-252-95,WD-000025-252-95,45,0,6.95
PO434,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000025-252-94,WD-000025-252-94,20,0,6.95
PO434,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000025-252-93,WD-000025-252-93,15,0,6.95
PO435,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000512-252-97,WD-000512-252-97,45,0,7.35
PO435,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000512-252-96,WD-000512-252-96,95,0,7.35
PO435,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000512-252-95,WD-000512-252-95,70,0,7.35
PO435,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000512-252-94,WD-000512-252-94,20,0,7.35
PO435,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000512-252-93,WD-000512-252-93,20,0,7.35
PO436,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000513-252-97,WD-000513-252-97,35,0,6.3
PO436,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000513-252-96,WD-000513-252-96,55,0,6.3
PO436,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000513-252-95,WD-000513-252-95,40,0,6.3
PO436,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000513-252-94,WD-000513-252-94,10,0,6.3
PO436,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000513-252-93,WD-000513-252-93,10,0,6.3
PO437,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000026-252-97,WD-000026-252-97,40,0,9
PO437,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000026-252-96,WD-000026-252-96,75,0,9
PO437,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000026-252-95,WD-000026-252-95,80,0,9
PO437,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000026-252-94,WD-000026-252-94,35,0,9
