PO NUMBER,PRODUCT SKU,PRODUCT TITLE,SIZE,SUPPLIER,VARIANT SKU,QUANTITY ORDERED,FACTORY COST PRICE,"ORDER SENT
(DATE)",ORIGINAL EX-FACTORY,CURRENT DELIVERY
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,XXS,SANDRA,WD-000543-196-98,20,8,29/04/2026,10/06/2026,21/06/2026
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,XS,SANDRA,WD-000543-196-97,30,8,29/04/2026,10/06/2026,21/06/2026
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,S,SANDRA,WD-000543-196-96,70,8,29/04/2026,10/06/2026,21/06/2026
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,M,SANDRA,WD-000543-196-95,50,8,29/04/2026,10/06/2026,21/06/2026
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,L,SANDRA,WD-000543-196-94,20,8,29/04/2026,10/06/2026,21/06/2026
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,XL,SANDRA,WD-000543-196-93,10,8,29/04/2026,10/06/2026,21/06/2026
PO472,WD-000533-196,ATHENA DRAPE MAXI SKIRT | BABY PINK,XXS,SANDRA,WD-000533-196-98,30,13.8,29/04/2026,10/06/2026,21/06/2026
PO472,WD-000533-196,ATHENA DRAPE MAXI SKIRT | BABY PINK,XS,SANDRA,WD-000533-196-97,60,13.8,29/04/2026,10/06/2026,21/06/2026
PO472,WD-000533-196,ATHENA DRAPE MAXI SKIRT | BABY PINK,S,SANDRA,WD-000533-196-96,110,13.8,29/04/2026,10/06/2026,21/06/2026
PO472,WD-000533-196,ATHENA DRAPE MAXI SKIRT | BABY PINK,M,SANDRA,WD-000533-196-95,100,13.8,29/04/2026,10/06/2026,21/06/2026
