PO NUMBER,PRODUCT SKU,PRODUCT TITLE,SIZE,SUPPLIER,VARIANT SKU,QUANTITY ORDERED,FACTORY COST PRICE
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,XXS,SANDRA,WD-000543-196-98,20,8
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,XS,SANDRA,WD-000543-196-97,40,8
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,S,SANDRA,WD-000543-196-96,60,8
PO471,WD-000543-196,ATHENA CREW NECK RACER JERSEY BODYSUIT | BABY PINK,M,SANDRA,WD-000543-196-95,80,8
PO472,WD-000581-022,SELENE RIBBED LONG SLEEVE TOP | CHOCOLATE,S,MICHAEL,WD-000581-022-96,60,13.8
PO472,WD-000581-022,SELENE RIBBED LONG SLEEVE TOP | CHOCOLATE,M,MICHAEL,WD-000581-022-95,80,13.8
PO472,WD-000581-022,SELENE RIBBED LONG SLEEVE TOP | CHOCOLATE,L,MICHAEL,WD-000581-022-94,100,13.8
PO473,WD-000612-044,HERA WRAP MINI DRESS | BLACK,M,SUMMA,WD-000612-044-95,50,6.95
PO473,WD-000612-044,HERA WRAP MINI DRESS | BLACK,L,SUMMA,WD-000612-044-94,50,6.95
PO448,WD-000620-100,IRIS MESH BODYSUIT | WHITE,S,FREDA,WD-000620-100-96,40,7.5
PO448,WD-000620-100,IRIS MESH BODYSUIT | WHITE,M,FREDA,WD-000620-100-95,60,7.5
